City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Datetime
Nanortalik,60.1432,-45.2371,33.69,69,100,1.3,GL,1621747565
George Town,5.4112,100.3354,91.35,66,20,8.05,MY,1621747389
George Town,5.4112,100.3354,91.35,66,20,8.05,MY,1621747389
Qaanaaq,77.484,-69.3632,18.14,76,82,6.26,GL,1621747357
Hermanus,-34.4187,19.2345,59.9,50,32,7.65,ZA,1621747365
Nanortalik,60.1432,-45.2371,33.69,69,100,1.3,GL,1621747565
Lukovetskiy,64.2956,41.9211,42.78,79,99,12.46,RU,1621747566
Thompson,55.7435,-97.8558,37.56,60,20,3.44,CA,1621747452
Busselton,-33.65,115.3333,54.09,81,88,20.87,AU,1621747363
Ushuaia,-54.8,-68.3,35.26,93,90,1.14,AR,1621747268
Cape Town,-33.9258,18.4232,60.12,41,0,4.36,ZA,1621747195
Padang,-0.9492,100.3543,87.85,63,47,6.08,ID,1621747433
Birao,10.2849,22.7882,78.55,57,4,4.52,CF,1621747566
Dingle,10.9995,122.6711,89.91,59,28,8.7,PH,1621747363
Sistranda,63.7256,8.834,52.9,80,84,4.92,NO,1621747362
Tiksi,71.6872,128.8694,30.9,76,71,5.77,RU,1621747447
Mataura,-46.1927,168.8643,49.48,91,3,0.51,NZ,1621747356
Requena,39.4883,-1.1004,57.13,83,100,8.28,ES,1621747567
Makakilo City,21.3469,-158.0858,77.32,61,75,4.61,US,1621747567
Vaini,-21.2,-175.2,77.16,94,75,2.3,TO,1621747374
New Norfolk,-42.7826,147.0587,66.58,63,41,1.01,AU,1621747373
Quang Ngai,15.1167,108.8,96.94,44,81,11.77,VN,1621747494
São Miguel do Tapuio,-5.5036,-41.3233,70.43,75,17,1.63,BR,1621747568
Hithadhoo,-0.6,73.0833,84.38,66,94,9.42,MV,1621747274
Eydhafushi,5.1033,73.0708,83.93,76,97,20.36,MV,1621747274
Ushuaia,-54.8,-68.3,35.26,93,90,1.14,AR,1621747268
Buin,-33.7333,-70.75,55.06,52,0,4.9,CL,1621747442
Thompson,55.7435,-97.8558,37.56,60,20,3.44,CA,1621747452
Rikitea,-23.1203,-134.9692,75.24,74,3,11.56,PF,1621747357
Hobart,-42.8794,147.3294,66.92,59,75,4.61,AU,1621747357
Hilo,19.7297,-155.09,73.8,94,90,5.75,US,1621747419
Puerto Ayora,-0.7393,-90.3518,73.54,88,27,4.0,EC,1621747368
